rank,country,country_iso3,region,year,hno_year,sector_label,need_method,need_selection,source_file,people_in_need,requirements_usd,funding_usd,funding_pct,appeal_names,appeal_types,has_hrp_record,has_active_hrp,active_hrp_count,active_hrp_names,active_hrp_codes,active_hrp_types,hrp_status,cbpf_budget_usd,cbpf_projects,cbpf_per_person_in_need,cbpf_mapping_confidence,cbpf_country_source,population_baseline,population_reference_year,pin_population_share,population_source,severity_scale,severity_rank,severity_context,severity_source,sector_count,sector_requirements_usd,sector_funding_usd,sector_median_funding_pct,worst_sector,worst_sector_funding_pct,worst_sector_gap_usd,incoming_total_usd,incoming_flow_records,incoming_source_count,top_donor,top_donor_usd,top_donor_share,outgoing_total_usd,outgoing_flow_records,outgoing_recipient_count,top_recipient,top_recipient_usd,top_recipient_share,overlooked_score,overlooked_level,underfunded_years_last_3,observed_funding_years_last_3,confidence,data_quality_flags,supplemental_data_flags,lat,lon,explanation
1,Ethiopia,ETH,East Africa,2024,2024,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,14162123.37,3691808610.0,1048432841.0,0.28398894735770175,Ethiopia Humanitarian Response Plan 2024; Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2024; South Sudan Regional Refugee Response Plan 2024; Sudan Emergency: Regional Refugee Response Plan 2024,Humanitarian response plan; Regional response plan,True,True,4,Ethiopia Humanitarian Response Plan 2024; Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2024; South Sudan Regional Refugee Response Plan 2024; Sudan Emergency: Regional Refugee Response Plan 2024,HETH24; RETHKENUGA24; RRHOAY24; RRSDN24,cluster; sector,active_hrp,61381768.82,71.0,4.334220739103758,medium_alias_table,pooledfundname_alias_table,102536651.0,2022,0.13811767043181467,Central Statistics Agency (CSA),0.47368421052631576,11.0,PIN is 13.8% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,16,3235782784.0,831133513.0,0.29396791261071026,Protection - Child Protection,0.10816245346082247,84317889.0,19035144,35,8,European Commission's Humanitarian Aid and Civil Protection Department,6907278,0.3628697529159748,2024742.0,2.0,1.0,United Nations High Commissioner for Refugees,2024742.0,1.0,75.81694298272413,Very High,2,3,High,ok,ok,9.145,40.4897,"Ethiopia ranks Very High because it has 14,162,123 people in need, 28% funded, and $61,381,769 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 13.8% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 28% funded. The available need-intensity context ranks at percentile 47% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Protection - Child Protection at 10.8%. The largest single-country incoming flow source accounts for 36.3% of matched paid/commitment flow detail."
2,Myanmar,MMR,Asia-Pacific,2024,2024,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,12239518.0,993548103.0,395530736.0,0.398099231235712,Myanmar Humanitarian Needs and Response Plan 2024,Humanitarian needs and response plan,True,True,1,Myanmar Humanitarian Needs and Response Plan 2024,HMMR24,Humanitarian needs and response plan,active_hrp,24850094.73,43.0,2.030316449552997,medium_alias_table,pooledfundname_alias_table,,,,,,,No local INFORM/IPC/IDP severity file or COD baseline matched this row.,No local INFORM/IPC/IDP severity source matched,11,993548103.0,288366491.0,0.29223073338912675,Protection - Mine Action,0.08058991561558876,30834256.0,2679747,19,2,European Commission's Humanitarian Aid and Civil Protection Department,1532495,0.5718804797617089,1147252.0,7.0,2.0,National NGOs (Confidential),682373.0,0.5947891134641735,70.04751921910722,High,1,3,High,ok,no_cod_population_baseline,21.9162,95.956,"Myanmar ranks High because it has 12,239,518 people in need, 40% funded, and $24,850,095 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. It has an active HRP in 2024; matched FTS funding coverage is 40% funded. The lowest matched sector funding coverage is Protection - Mine Action at 8.1%. The largest single-country incoming flow source accounts for 57.2% of matched paid/commitment flow detail."
3,Syrian Arab Republic,SYR,Middle East,2024,2024,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,15305903.0,4209822792.0,1566654498.0,0.3721426234323072,Inter-Agency Emergency Appeal for the Influx from Lebanon to Syria 2024; Syrian Arab Republic Humanitarian Response Plan 2024,Humanitarian response plan; Other,True,True,2,Inter-Agency Emergency Appeal for the Influx from Lebanon to Syria 2024; Syrian Arab Republic Humanitarian Response Plan 2024,HSYR24; OSYR24,sector,active_hrp,103686413.8,124.0,6.774276159988731,medium_alias_table,pooledfundname_alias_table,,,,,,,No local INFORM/IPC/IDP severity file or COD baseline matched this row.,No local INFORM/IPC/IDP severity source matched,16,4209822791.0,1180944314.0,0.26122417313500323,Logistics,0.047759829740761726,7317282.0,31908177,56,5,European Commission's Humanitarian Aid and Civil Protection Department,14290595,0.4478662319066363,8439588.0,24.0,11.0,Agency for Technical Cooperation and Development,2426565.0,0.28752173684307814,67.363101080859,High,1,3,High,ok,no_cod_population_baseline,34.8021,38.9968,"Syrian Arab Republic ranks High because it has 15,305,903 people in need, 37% funded, and $103,686,414 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. It has an active HRP in 2024; matched FTS funding coverage is 37% funded. The lowest matched sector funding coverage is Logistics at 4.8%. The largest single-country incoming flow source accounts for 44.8% of matched paid/commitment flow detail."
4,Afghanistan,AFG,Asia-Pacific,2024,2024,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,20806009.0,3059587797.0,1583885118.0,0.5176792506340356,Afghanistan Humanitarian Needs and Response Plan 2024,Humanitarian needs and response plan,True,True,1,Afghanistan Humanitarian Needs and Response Plan 2024,HAFG24,Humanitarian needs and response plan,active_hrp,55213329.07,88.0,2.6537203300258114,medium_alias_table,pooledfundname_alias_table,40411869.0,2021,0.5148489667726083,National Statistic and Information Authority (NSIA) Afghanistan,1.0,1.0,PIN is 51.5% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,13,3035287797.0,1352901674.0,0.487213885493181,Water Sanitation Hygiene,0.2134994358829056,257792461.0,30669086,43,6,"Germany, Government of",15909016,0.5187313374777455,3360636.0,3.0,3.0,National NGOs (Confidential),2000000.0,0.5951254464928663,67.05801873414912,High,0,3,High,ok,ok,33.9391,67.71,"Afghanistan ranks High because it has 20,806,009 people in need, 52% funded, and $55,213,329 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 0 of the last 3 observed funding years. COD admin0 data puts PIN at 51.5% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 52% funded. The available need-intensity context ranks at percentile 100% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Water Sanitation Hygiene at 21.3%. The largest single-country incoming flow source accounts for 51.9% of matched paid/commitment flow detail."
5,Yemen,YEM,Middle East,2024,2024,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,16386147.0,2705762394.0,1500893464.0,0.5547026107422498,Yemen Humanitarian Response Plan 2024,Humanitarian response plan,True,True,1,Yemen Humanitarian Response Plan 2024,HYEM24,cluster,active_hrp,36875424.69,50.0,2.2504024094254738,medium_alias_table,pooledfundname_alias_table,,,,,,,No local INFORM/IPC/IDP severity file or COD baseline matched this row.,No local INFORM/IPC/IDP severity source matched,15,2627452767.0,1331753615.0,0.5883155690072639,Emergency Telecommunications,0.0,2700000.0,47671756,33,13,KFW Development,16218457,0.34021102558084915,5908470.0,9.0,5.0,United Nations Children's Fund,3158924.0,0.5346433171362468,62.799101398110416,High,0,3,High,ok,no_cod_population_baseline,15.5527,48.5164,"Yemen ranks High because it has 16,386,147 people in need, 55% funded, and $36,875,425 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 0 of the last 3 observed funding years. It has an active HRP in 2024; matched FTS funding coverage is 55% funded. The lowest matched sector funding coverage is Emergency Telecommunications at 0.0%. The largest single-country incoming flow source accounts for 34.0% of matched paid/commitment flow detail."
6,Venezuela (Bolivarian Republic of),VEN,Latin America and Caribbean,2024,2024,Protección (total),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,4425474.0,617034811.0,173951431.0,0.2819151008969573,Venezuela Plan de Respuesta Humanitaria 2024,Humanitarian response plan,True,True,1,Venezuela Plan de Respuesta Humanitaria 2024,HVEN24,cluster,active_hrp,12613729.78,21.0,2.8502550867997414,medium_alias_table,pooledfundname_alias_table,27225775.0,2011,0.16254721858239113,Instituto Nacional de Estadística (INE),0.5263157894736842,10.0,PIN is 16.3% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,10,617034808.0,160103363.0,0.1736222948381012,Emergency Shelter and NFI,0.07601338695343737,44445933.0,7128824,45,3,European Commission's Humanitarian Aid and Civil Protection Department,5651626,0.7927851774710668,277776.0,2.0,1.0,United Nations Population Fund,277776.0,1.0,60.6604558109094,High,2,3,High,ok,ok,6.4238,-66.5897,"Venezuela (Bolivarian Republic of) ranks High because it has 4,425,474 people in need, 28% funded, and $12,613,730 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 16.3% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 28% funded. The available need-intensity context ranks at percentile 53% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Emergency Shelter and NFI at 7.6%. The largest single-country incoming flow source accounts for 79.3% of matched paid/commitment flow detail."
7,Colombia,COL,Latin America and Caribbean,2024,2024,Protección (total),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,5155440.0,907860094.0,365091483.0,0.40214509417571115,Colombia Plan de Respuesta a Prioridades Comunitarias Colombia 2024 - 2025; Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2024,Humanitarian needs and response plan; Regional response plan,True,True,2,Colombia Plan de Respuesta a Prioridades Comunitarias Colombia 2024 - 2025; Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2024,HCOL24; RREG24,Humanitarian needs and response plan; sector,active_hrp,3006015.08,11.0,0.5830763387800072,medium_alias_table,pooledfundname_alias_table,53216592.0,2025,0.09687655308705224,Departamento Administrativo Nacional de Estadística (DANE),0.2631578947368421,15.0,PIN is 9.7% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,11,331990687.0,198710521.0,0.4941165599523124,Health,0.29973918739538413,34079413.0,14559620,47,10,"United States of America, Government of",8271986,0.568145734572743,424777.0,8.0,2.0,National NGOs (Confidential),304051.0,0.715789696711451,59.738039312273884,High,1,3,High,ok,ok,4.5709,-74.2973,"Colombia ranks High because it has 5,155,440 people in need, 40% funded, and $3,006,015 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. COD admin0 data puts PIN at 9.7% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 40% funded. The available need-intensity context ranks at percentile 26% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Health at 30.0%. The largest single-country incoming flow source accounts for 56.8% of matched paid/commitment flow detail."
8,Burkina Faso,BFA,West and Central Africa,2024,2024,Final HRP caseload,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2024.csv,6293939.0,934604385.0,429943729.0,0.4600275109986778,Burkina Faso Plan de Réponse Humanitaire 2024,Humanitarian response plan,True,True,1,Burkina Faso Plan de Réponse Humanitaire 2024,HBFA24,cluster,active_hrp,13500035.27,21.0,2.1449262965529217,medium_alias_table,pooledfundname_alias_table,23558491.0,2024,0.26716223038224307,Institut Geographique National de la Statistique (INS) ,0.7894736842105263,5.0,PIN is 26.7% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,14,882283531.0,368922019.0,0.3858303707985587,Protection - Mine Action,0.0,2293853.0,7431277,26,8,"United States of America, Government of",1913377,0.2574762049645034,2116205.0,5.0,5.0,World Food Programme,795455.0,0.37588749672172594,57.45764555836639,High,0,3,High,ok,ok,12.2383,-1.5616,"Burkina Faso ranks High because it has 6,293,939 people in need, 46% funded, and $13,500,035 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 0 of the last 3 observed funding years. COD admin0 data puts PIN at 26.7% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 46% funded. The available need-intensity context ranks at percentile 79% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Protection - Mine Action at 0.0%. The largest single-country incoming flow source accounts for 25.7% of matched paid/commitment flow detail."
9,Democratic Republic of the Congo,COD,West and Central Africa,2024,2024,Protection (total),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2024.csv,10206051.0,2580627746.0,1329632604.0,0.515236111082253,République Démocratique du Congo Plan de Réponse Humanitaire 2024,Humanitarian response plan,True,True,1,République Démocratique du Congo Plan de Réponse Humanitaire 2024,HCOD24,cluster,active_hrp,34550000.09,47.0,3.3852466629845375,medium_alias_table,pooledfundname_alias_table,103199358.0,2020,0.09889645825122284,Health Zone population statistics developed by the DRC IM Working Group,0.3157894736842105,14.0,PIN is 9.9% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,14,2381913069.0,1104420094.0,0.3740946025361481,Protection - Mine Action,0.0,1303955.0,9552351,36,4,European Commission's Humanitarian Aid and Civil Protection Department,2954451,0.3092904563494369,5435160.0,6.0,6.0,International Committee of the Red Cross,2714660.0,0.49946275730613265,55.86909722294369,High,0,3,High,ok,ok,-4.0383,21.7587,"Democratic Republic of the Congo ranks High because it has 10,206,051 people in need, 52% funded, and $34,550,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 0 of the last 3 observed funding years. COD admin0 data puts PIN at 9.9% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 52% funded. The available need-intensity context ranks at percentile 32% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Protection - Mine Action at 0.0%. The largest single-country incoming flow source accounts for 30.9% of matched paid/commitment flow detail."
10,Honduras,HND,Latin America and Caribbean,2024,2024,PIN Target Intersectorial,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2024.csv,2800000.0,203159869.0,65365340.0,0.3217433655659622,Honduras Necesidades Humanitarias y Plan de Respuesta 2024,Humanitarian needs and response plan,True,True,1,Honduras Necesidades Humanitarias y Plan de Respuesta 2024,HHND24,Humanitarian needs and response plan,active_hrp,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,9892674.0,2024,0.2830377307490371,Instituto Nacional de Estadística - INE,0.8421052631578947,4.0,PIN is 28.3% of the COD admin0 population baseline.,HNO PIN / COD admin0 population baseline,10,203159869.0,64768060.0,0.2754159261204825,Coordination and support services,0.0,385000.0,288156,7,1,European Commission's Humanitarian Aid and Civil Protection Department,288156,1.0,,,,,,,55.18558252751761,High,2,3,High,no_mapped_cbpf_allocation,ok,15.2,-86.2419,"Honduras ranks High because it has 2,800,000 people in need, 32% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 28.3% of the population baseline. It has an active HRP in 2024; matched FTS funding coverage is 32% funded. The available need-intensity context ranks at percentile 84% based on HNO PIN divided by COD admin0 population. The lowest matched sector funding coverage is Coordination and support services at 0.0%. The largest single-country incoming flow source accounts for 100.0% of matched paid/commitment flow detail."
