date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2026-02-20,2026,United Arab Emirates Contribution to Sudan Humanitarian Fund (SUHF) 2026,5000000,"United Arab Emirates, Government of",Governments,ARE,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-01-20,2026-01-15,,,,,374223,OCT/ARE/2026/77941/OCHA(CBPF-OCHA)/SDN/85108 -,2026-02-24,2026-02-24
2026-05-14,2026,GROW: Generating Resilience through Opportunities and Work,150944,"Australia, Government of",Governments,AUS,2026,2026,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2026,RJORLBNTUR26,1528,Adventist Development and Relief Agency,NGOs,Multi-sector,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-05-14,2025-07-02,,233365,AUD,1.546,388856,GROW - A00037,2026-05-14,2026-05-14
2026-05-05,2026,Australia Contribution to Myanmar Humanitarian Fund (3415) 2026,6686599,"Australia, Government of",Governments,AUS,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,Myanmar Humanitarian Fund,Pooled Funds,,MMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-25,2026-04-22,Multiyear,9390000,AUD,1.415,387014,OCT/AUS/2026/78039/OCHA(CBPF-OCHA)/MMR/85421 77338/14,2026-05-07,2026-05-07
2026-05-04,,Seeds of Recovery: Restoring and Transforming Vegetable Production Systems in Cyclone Ditwah-Affected Nuwara Eliya and Badulla Districts of Sri Lanka,1420455,"Australia, Government of",Governments,AUS,2026,2026,Sri Lanka Humanitarian Priorities Plan Cyclone Ditwa 2026,OLKA2526,1565,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Agriculture,LKA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-05-04,2026-04-30,,2000000,AUD,1.408,387527,OSRO/SRL/091/AUL DFAT Ageree. No. 81891 OSRO/SRL/0914/AUL,2026-05-04,2026-05-04
2026-04-22,2026,Australia Contribution to Myanmar Humanitarian Fund (3415) 2027,4946996,"Australia, Government of",Governments,AUS,2026,2026,,,,Myanmar Humanitarian Fund,Pooled Funds,,MMR,,,,2027,2027,financial,Standard,Traditional aid,outgoing,single,commitment,2026-04-25,2026-04-22,Multiyear,7000000,AUD,1.415,387015,OCT/AUS/2027/78040/OCHA(CBPF-OCHA)/MMR/85422 77338/14,2026-05-02,2026-05-05
2026-04-22,2026,Australia Contribution to Myanmar Humanitarian Fund (3415) 2028,4946996,"Australia, Government of",Governments,AUS,2026,2026,,,,Myanmar Humanitarian Fund,Pooled Funds,,MMR,,,,2028,2028,financial,Standard,Traditional aid,outgoing,single,commitment,2026-04-25,2026-04-22,Multiyear,7000000,AUD,1.415,387016,OCT/AUS/2028/78041/OCHA(CBPF-OCHA)/MMR/85423 77338/14,2026-05-02,2026-05-05
2026-04-10,2026,Food Security & Livelihoods,19608,"Australia, Government of",Governments,AUS,2026,2026,Cuba Plan of Action 2026 – Response to Hurricane Melissa,OCUB26,1601,World Food Programme,Multilateral Organizations,Food Security,CUB,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-10,2026-02-06,,27000,AUD,1.377,384437,10052509	 No 	 EOL 77225/28 	 AUL-C-00372-01 	 CU03.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Australia support to WFP,0,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,,BGD,,,,2026,2026,financial,Parked,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384468,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Education,1116892,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Education,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384469,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Food Security - Food Assistance,9000000,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Food Security,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384470,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Nutrition,2000000,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Nutrition,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384471,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-06,2026,Food Security - Food Assistance,2130682,"Australia, Government of",Governments,AUS,2026,2026,Lebanon Flash Appeal 2026,FLBN26,1568,World Food Programme,Multilateral Organizations,Food Security,LBN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-03-23,,3000000,AUD,1.408,384083,10052690	 No 	 77335-18 	 AUL-C-00361-02 	 LB02,2026-04-06,2026-04-06
2026-02-18,2025,"Rohingya Humanitarian Crisis Joint Response Plan
Early Recovery
Enhancing staffing and operational capacities in key resettlement operations and for Complementary Pathways Globally: Resettlement Operational Support component",48450,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-18,2025-06-10,,75000,AUD,1.548,379099,25-GOV-AU-007-01,2026-02-18,2026-02-18
2026-01-20,2026,Health	Improved access to essential health services by the vulnerable populations in the conflict affected areas,2443601,"Australia, Government of",Governments,AUS,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,Access to Health Fund,Pooled Funds,Health,MMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-20,2026-01-01,,3648296,AUD,1.493,374227,,2026-01-28,2026-01-28
2025-12-30,2026,Australia Contribution to Sudan Humanitarian Fund (SUHF) 2026,9758466,"Australia, Government of",Governments,AUS,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-01-13,2026-01-12,,14000000,AUD,1.493,373455,OCT/AUS/2026/77811/OCHA(CBPF-OCHA)/SDN/84944 EOL No 77338/13,2026-02-04,2026-02-04
2026-03-23,2026,Contribution to ICRC Country Appeal 2026 Winterization Ukraine,1176471,"Austria, Government of",Governments,AUT,2026,2026,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Emergency Shelter and NFI,UKR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-03-23,2026-01-01,,1000000,EUR,0.85,382693,2768-01/2026,2026-03-23,2026-03-23
2026-03-03,2025,Austrian contribution to Sudan and neighboring countries crisis response plan 2025-2026,3521126,"Austria, Government of",Governments,AUT,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,International Organization for Migration,Multilateral Organizations,Multi-sector,SDN,,,Sudan Complex Emergency 2023,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-03-03,2026-01-15,,3000000,EUR,0.852,380371,2259-01/2024/Vsum/3-ZGI/2025,2026-03-03,2026-03-03
2025-04-22,,"Promoting resilience of refugees and vulnerable host communities in Jordan, Phase II – PRO-JORDAN II",111111,"Austria, Government of",Governments,AUT,2026,2026,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2026,RJORLBNTUR26,1528,CARE Austria,NGOs,,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-06-16,,Multiyear,100000,EUR,0.9,346745,2857-00/2024,2025-06-16,2026-03-23
2025-04-22,,"Promoting resilience of refugees and vulnerable host communities in Jordan, Phase II – PRO-JORDAN II",0,"Austria, Government of",Governments,AUT,2024,2027,,,,CARE Austria,NGOs,,JOR,,,,2024,2027,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-06-16,,Multiyear,0,EUR,0.9,346747,2857-00/2024,2025-06-16,2026-03-23
2026-04-29,2025,To protect displaced persons from individuals forced to move due ton conflict violence or humanitarian crises.,243141,"Belgium, Government of",Governments,BEL,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,CARITAS,NGOs,Multi-sector,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-12-10,,208041,EUR,0.851,371101,PG/2025/01,2026-04-29,2026-04-30
2026-04-29,2025,To protect displaced persons from individuals forced to move due ton conflict violence or humanitarian crises.,526805,"Belgium, Government of",Governments,BEL,2026,2026,,,,CARITAS,NGOs,Multi-sector,BDI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-12-10,,450756,EUR,0.8556,371102,PG/2025/01,2026-04-29,2026-04-30
2026-04-29,2025,To protect displaced persons from individuals forced to move due ton conflict violence or humanitarian crises.,972565,"Belgium, Government of",Governments,BEL,2026,2026,Uganda Regional Refugee Response Plan 2026,RUGA26,1526,CARITAS,NGOs,Protection,UGA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-12-10,,832166,EUR,0.8556,371103,PG/2025/01,2026-04-29,2026-04-30
2026-04-29,2025,To protect displaced persons from individuals forced to move due ton conflict violence or humanitarian crises.,243141,"Belgium, Government of",Governments,BEL,2026,2026,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,1510,CARITAS,NGOs,Protection,PSE,,,oPt Complex Emergency 2023-24,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-12-10,,208041,EUR,0.8556,371104,PG/2025/01,2026-04-29,2026-04-30
